customer_id,customer_name,segment,age,country,city,state,postal_code,region,order_line,order_id,order_date,ship_date,ship_mode,product_id,sales,quantity,discount,profit,category,sub_category,product_name
CG-12520,Claire Gute,Consumer,67,United States,Henderson,Kentucky,42420,South,1,CA-2016-152156,08-11-2016,11-11-2016,Second Class,FUR-BO-10001798,261.96,2,0,41.9136,Furniture,Bookcases,Bush Somerset Collection Bookcase
CG-12520,Claire Gute,Consumer,67,United States,Henderson,Kentucky,42420,South,2,CA-2016-152156,08-11-2016,11-11-2016,Second Class,FUR-CH-10000454,731.94,3,0,219.582,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs  Rounded Back
DV-13045,Darrin Van Huff,Corporate,31,United States,Los Angeles,California,90036,West,3,CA-2016-138688,12-06-2016,16-06-2016,Second Class,OFF-LA-10000240,14.62,2,0,6.8714,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal
SO-20335,Sean O'Donnell,Consumer,65,United States,Fort Lauderdale,Florida,33311,South,4,US-2015-108966,11-10-2015,18-10-2015,Standard Class,FUR-TA-10000577,957.5775,5,0.45,-383.031,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table
SO-20335,Sean O'Donnell,Consumer,65,United States,Fort Lauderdale,Florida,33311,South,5,US-2015-108966,11-10-2015,18-10-2015,Standard Class,OFF-ST-10000760,22.368,2,0.2,2.5164,Office Supplies,Storage,Eldon Fold N Roll Cart System
BH-11710,Brosina Hoffman,Consumer,20,United States,Los Angeles,California,90032,West,6,CA-2014-115812,09-06-2014,14-06-2014,Standard Class,FUR-FU-10001487,48.86,7,0,14.1694,Furniture,Furnishings,Eldon Expressions Wood and Plastic Desk Accessories  Cherry Wood
BH-11710,Brosina Hoffman,Consumer,20,United States,Los Angeles,California,90032,West,7,CA-2014-115812,09-06-2014,14-06-2014,Standard Class,OFF-AR-10002833,7.28,4,0,1.9656,Office Supplies,Art,Newell 322
BH-11710,Brosina Hoffman,Consumer,20,United States,Los Angeles,California,90032,West,8,CA-2014-115812,09-06-2014,14-06-2014,Standard Class,TEC-PH-10002275,907.152,6,0.2,90.7152,Technology,Phones,Mitel 5320 IP Phone VoIP phone
BH-11710,Brosina Hoffman,Consumer,20,United States,Los Angeles,California,90032,West,9,CA-2014-115812,09-06-2014,14-06-2014,Standard Class,OFF-BI-10003910,18.504,3,0.2,5.7825,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill
BH-11710,Brosina Hoffman,Consumer,20,United States,Los Angeles,California,90032,West,10,CA-2014-115812,09-06-2014,14-06-2014,Standard Class,OFF-AP-10002892,114.9,5,0,34.47,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge
